Geneid,CTB_1st_717,CTB_1st_722,CTB_1st_732,CTB_1st_734,CTB_1st_738,CTB_1st_750,EVT_1st_1026,EVT_1st_1087,EVT_1st_1089,EVT_1st_1094,EVT_1st_1096,EVT_1st_1097
ENSG00000163362.11,1085.989,1330.212,1049.229,954.874,1192.004,992.012,1136.17,903.002,790.919,1202.633,1679.398,1029.903
ENSG00000163364.12,6.158,9.475,2.904,2.017,5.976,11.69,0,3.526,2.248,11.419,1.117,1.055
ENSG00000163374.20,1604.425,1729.713,1764.132,1546.241,1830.54,1451.327,1113.567,1045.011,1018.763,767.267,1358.378,1263.933
ENSG00000163376.11,4626.839,2107,3658.701,3831,5207.117,2562.807,286,331,466,329,630.999,546
ENSG00000163377.16,0,0,0,1,0,0,0,2,1,0,0,0
ENSG00000163378.14,216.033,385.001,262.001,306.064,367.001,249.999,1334.228,632,837.999,809.019,1166.999,868
ENSG00000163380.16,3,5.084,9,5,8.798,3.986,11.994,9,4,17,3,7
ENSG00000163382.13,1328.998,1353.489,1365.407,1087.001,1645,832.127,129,177.999,194,161,254,241.001
ENSG00000163389.12,520.196,612.999,595.679,455,731.999,368.964,609.001,846.153,570.999,547,796,717
ENSG00000163393.13,63,71,66,71,70,94.001,193.001,118,160,146,150.999,130
ENSG00000163394.6,0,1,0,0,0,0,0,0,1,0,0,0
ENSG00000163395.17,1,1,0,0,0,0,1,2,0,0,1,1
ENSG00000163399.16,8030.555,9807.105,10961.659,9383.116,8161.986,6680.584,9913.965,9224.566,7592.211,5627.228,10172.837,10460.425
ENSG00000163406.11,83,98,98,88,93,99,15.028,13,8,13.999,20,20.022
ENSG00000163412.13,147.999,114,371.241,149,185,106.001,191.001,341.999,333,156,301.984,331.999
ENSG00000163421.9,0,0,0,0,1,0,1,1,1,1,1,0
ENSG00000163424.9,0,0,2,0,1,0,0,0,0,0,0,0
ENSG00000163428.4,2438.636,2854.196,2647.41,2270.942,3316.346,2047.204,1783.182,2377.162,1650.566,1317.016,1916.952,2106.022
ENSG00000163430.13,22875.632,24946.581,21984.551,20129.554,22924.121,19451.737,105619.468,78168.2,99205.338,106683.475,131887.102,91747.729
ENSG00000163431.14,643,129,124,92,140,91.044,13,0,4,4,15,18
ENSG00000163435.16,3498.001,1472.737,2304.555,3208.948,3904.936,2511.305,2679.765,1408.535,2267.783,3461.475,2863.395,2810.546
ENSG00000163440.12,0,4,0,1,1,1,0,0,0,2,0,2
ENSG00000163444.12,1929.363,2002.003,2033.023,1619.105,2375.411,1539.116,1269.456,1290.786,1232,1063.539,1674,1664.098
ENSG00000163449.11,10,6,7,0,4,8,0,2,0,2,2,2
ENSG00000163453.11,1051,10,1,1,13,2.009,110,29,3,66,294,60
ENSG00000163462.19,0,0,1,0,1,1,4,3,1,2,6,3
ENSG00000163463.13,574.609,795.999,667,634.999,686.784,510.329,1483.932,1222.68,1206.999,1158.118,1769.001,1932
ENSG00000163464.8,1,0,3,3,3,2,1,3,1,1,0,0
ENSG00000163466.16,7812.676,10460.97,9708.162,8125.208,9674.71,7265.879,14156.466,14194.551,12780.711,11375.578,15920.418,15481.506
ENSG00000163467.12,17,12,30,16,16.999,21.999,8,1,4,0,0,2
ENSG00000163468.15,7557.794,8857.869,8505.15,6684.18,10936.463,5379.026,4107.311,3817.843,3789.37,3011.15,5824.508,5377.852
ENSG00000163472.19,108.999,111,117,89,103,60,22,23,31,23,63,32
ENSG00000163479.14,3873.271,5067.561,4546.112,3602.002,4871.293,3248.227,6272.928,6497.043,5784.814,5041.767,8002.809,7595.173
ENSG00000163481.8,215.551,336.001,306,229,306.001,198,280.012,283,246,147.999,355.999,317.999
ENSG00000163482.12,449.999,547.001,571.149,370.001,460.998,390.033,506.27,335,299,301,526,360
ENSG00000163485.18,4,31,24,21,26,4,82,90,49.999,68.999,50,72
ENSG00000163491.18,16.016,17,22.321,14,5,14,73.006,15,19,40.938,54.999,54
ENSG00000163492.16,12,28,20,47,21.999,42,19,14,1,43,8,14
ENSG00000163497.3,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163499.12,6,21,2,4,4,4,99.114,6,2,6,13,10
ENSG00000163501.7,5,0,6,0,0,1,1,0,0,8,2,1
ENSG00000163507.15,674.061,1071.999,809,740,1158.996,593.999,334.003,336.325,272,252.999,485.475,424
ENSG00000163508.13,1,0,1,0,1,0,0,0,0,1,0,1
ENSG00000163510.14,935.006,1286,1139,1026,1304.567,888,793.001,910,771,529,919.698,919
ENSG00000163512.14,1076.471,1242,1160.963,1104.551,1418.145,936.446,1246.03,1433.722,1303.999,1009,1699.002,1617.001
ENSG00000163513.19,1164.857,963.001,1167.999,796,976,969.001,2348.734,1384.231,1368.929,1564.001,4475.032,2566.081
ENSG00000163515.7,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163516.14,676.343,837.997,659.999,616.999,742.462,612,1083.999,1134,985.016,732.999,1149.001,984.998
ENSG00000163517.15,904.446,998.999,1049.714,564.994,1067.161,700.989,62,58,96,79.999,131.999,135
ENSG00000163518.11,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163519.14,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163520.14,1961.985,838,709,435,678,359,546.55,347,314.975,995.918,553,322
ENSG00000163521.16,147,158,95.653,143.999,175.259,110,169,89,114.001,68.909,112.083,95
ENSG00000163527.10,10565.31,14836.631,12570.196,9813.567,14459.833,10140.577,15506.846,17651.451,14846.119,11618.726,17667.334,17395.828
ENSG00000163528.13,231,441,302.445,307,440,224.147,151,137,184,118,222,185
ENSG00000163530.4,35,85,72,62,55,34,103,84,81,75,165,147
ENSG00000163531.17,1,8.001,2,2,4.563,3,7.002,0,7,22.001,14.991,5
ENSG00000163534.15,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163535.18,623.796,824.297,709.43,738.779,906.478,493.701,460.373,604.999,456,364,669.268,663.349
ENSG00000163536.13,62,67,91,24,80,49,148,153,123,145,124,112
ENSG00000163539.18,2866.956,2960,3139.805,2300.118,3413.937,2298.499,1781.19,1845.002,1657.998,1508.133,2066.038,2108.417
ENSG00000163541.12,2065.018,2903.516,2599.94,2115.847,3013.551,1832.425,1000.422,1037.715,973.008,832.263,1429.337,1316.085
ENSG00000163545.11,1457.36,741.362,1205.993,1687.884,1976.906,932.571,2001.683,1243.453,1296.63,1197.326,2605.868,1733.011
ENSG00000163554.15,8,0,0,1,0,3,7,5,1,6,11,2
ENSG00000163558.13,2271.775,3021,2937.475,2274.356,3135.449,2267.298,2596.156,2461.167,2341,1683.307,3124.447,3262.194
ENSG00000163563.8,0,3,0,0,0,0,47,47,20,51,108,77
ENSG00000163564.15,13,0,5,0,5,2,6,3,0,7,1,4
ENSG00000163565.20,285.297,39,30,13,30.999,6,158,202.001,96,119,153,209
ENSG00000163568.16,0,0,0,0,0,0,1,1,4,2,0,2
ENSG00000163576.18,26,35,38.938,28.115,52.144,38.159,35.988,43,35.225,33.949,48,38
ENSG00000163577.8,80,48,68,51,110.007,52.963,39,17,20,26,43,37.306
ENSG00000163581.14,0,0,0,0,0,0,2,22,6,66,28,0
ENSG00000163584.18,1025.555,1045,876,765.001,1200,694.162,558.224,559.201,500.999,326,877.075,996
ENSG00000163586.10,0,0,0,2,0,0,22,42,1,41,68,3
ENSG00000163590.14,1242.466,849.013,910.999,718.087,1210.446,908.182,529.518,324.999,334,314.003,843.431,641.001
ENSG00000163596.17,600.472,939.028,947.979,791.942,813.332,622.363,1186.934,1481.112,1585.189,831.299,1691.082,1408.931
ENSG00000163597.17,4496.249,4798,4948.282,4970.791,5259.856,3548.372,2834.024,2390.306,3487.41,2525.994,4152.865,3590.005
ENSG00000163599.18,1,0,0,2,2,7,2,2,4,1,1,3
ENSG00000163600.13,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000163602.12,3301.062,3450.3,3731.136,3165.929,3473.405,2867.034,2055.047,1912,1620,1924,2225.999,2412.726
ENSG00000163605.16,4819.26,4924.885,4655.509,3971.43,5915.223,3479.79,3063.085,3248.837,2997.475,2752.999,3668.329,3225
ENSG00000163606.11,2,8,6,5,3,0,22,34,0,8,34,38
ENSG00000163607.18,596,534.001,628,447.999,699.403,332,250.471,303.212,268.001,237.001,371.21,339.015
ENSG00000163608.15,1077.388,1247.998,1163.119,1005.243,1275.998,1041.855,609.027,615.024,693,549,800.005,784.001
ENSG00000163611.11,580.783,537.524,494.987,450.368,638.27,429.403,543.416,608.655,445.28,414.518,502.722,465.533
ENSG00000163612.10,0,0,0,0,0,0,0,2,0,0,0,0
ENSG00000163617.11,77,59.007,88.999,56,75,50,68,63,35,48,53,37
ENSG00000163618.18,1.959,3,4,4,0,2,1,0,0,0,0,0
ENSG00000163623.10,1,1,0,2,1,0,3,8,3,1,0,3
ENSG00000163624.6,1747.028,1613.471,1840,1440,2135,1412.792,405.009,277.039,370,437,548.652,607.092
ENSG00000163625.17,5731.712,6163.002,6182.095,5493.002,5888.071,5112.348,3060.455,3307.484,3002.999,2453.503,3279.103,3403.02
ENSG00000163626.17,514,703.999,674.605,517.97,796,494,473.19,378,380.001,313.001,596.001,498.105
ENSG00000163629.13,368.927,16,2,2,7,2,15,14,27,18,31,13
ENSG00000163630.11,0,0,0,1,0,0,0,0,1,0,0,0
ENSG00000163631.18,0,0,5,0,1,0,1703.294,4042.55,463.999,812.001,5800.218,94
ENSG00000163632.15,6,3,10,13,4,13,0,0,0,0,2,1
ENSG00000163633.12,10.927,1,1,2.562,13.992,1.304,0,0,1.563,0,0,0
ENSG00000163634.12,1031.027,1459.538,1135,1121.986,1417,1059.9,620.68,767.107,674.998,498,898,855
ENSG00000163635.20,2192.647,2306.009,3032.75,2906.07,3089.023,2920.416,2070.187,2100,1509.985,1301,1880.34,2018.998
ENSG00000163636.11,2643.535,3424.678,3215.505,2480.202,3695.782,2437.943,1417.827,1179.614,1249.001,1018.733,1765.297,1712.002
ENSG00000163637.13,777.021,399,432.999,133.677,130.028,377,29.363,15.001,12,31.714,53,68
ENSG00000163638.13,811,23,1,7,5,8,61,19,1,11,46,55.999
ENSG00000163644.15,591.131,349.924,446.231,387.002,525.568,389.914,181.868,160.001,112.307,128,223.008,216.556
ENSG00000163645.15,3,5,1.023,3,0,1,0,1,0,0,0,2
ENSG00000163646.12,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163655.16,3164.754,4368.803,3622.912,3099.994,4584.383,2680.122,1359.88,1261.613,1251,1174.104,1736.83,1930.99
ENSG00000163659.13,4155.199,1136,2415.105,1848.001,2858.57,2054.412,3678.828,4552.566,5848.486,2899.635,4905.297,4556.744
ENSG00000163660.12,18041.128,11498.314,18418.334,14289.88,17629.493,19956.991,15575.367,19725.948,19888.624,13123.012,20355.794,18460.634
ENSG00000163661.4,22,1,0,2,1,1,5,3,3,3,4,8
ENSG00000163666.10,20,17,27,16,19,16,1,9,15,9,10,16
ENSG00000163673.8,30,57,54,31,56,15,0,3,3,4,5,4
ENSG00000163681.17,1670.447,1865.041,1719.86,1467.999,2014,1640.034,1066.001,1010.549,1066,933,1394.001,1263
ENSG00000163682.17,1949.203,2602.317,1990.695,1770.641,17278.429,2461.797,1600.304,20569.273,1503.018,15268.747,22338.453,11849.914
ENSG00000163683.12,1473.537,1454.119,1385.373,1099.948,1480.125,1082.976,1445.998,879.939,1535.991,1471.45,1521.286,1362.106
ENSG00000163684.12,1051.762,901.419,761.537,801.897,1184.242,752.346,379.671,313.36,369.531,282.314,416.249,508.014
ENSG00000163686.15,301,142,196,162,330,151.001,26,34,42,53,47,59
ENSG00000163687.14,0,1,0,2,2,1,445,18,824.007,469,303.165,12
ENSG00000163689.21,41,50,60.001,55,69,38,34,39,30.999,34.098,41.001,46.999
ENSG00000163694.15,9984.984,11019.046,11724.43,8807.619,10969.242,8621.147,5887.422,4469.555,4211.009,4371.022,6686.109,5124.49
ENSG00000163697.18,2588.579,2089.146,2358.404,1814,1992.001,1439.995,273.999,288,307.999,517,502.002,481.003
ENSG00000163701.19,30,21,49,45,43.001,26,355.999,19,334.999,124.001,345.001,210
ENSG00000163702.21,112.81,90.018,150.18,55,65.636,82.339,203.63,164.951,157.197,189.585,240.583,235.999
ENSG00000163703.20,431.17,561.239,751.622,515.897,637.035,592.294,601.545,434.09,541.837,232.259,764.06,1064.467
ENSG00000163704.13,86.823,43.59,83.97,72.493,84.027,52.079,60.897,35.111,40.07,38.981,37.786,54.904
ENSG00000163705.13,0,0,0,0,0,0,0,0,1,0,2,0
ENSG00000163710.9,2304.866,2879.293,2664.334,1403.304,2196.489,1810.254,603.993,1245,537,788,512.451,499
ENSG00000163714.18,5047.072,6256.139,5167.266,4429,6777.527,4349.888,3076.636,3690.055,3139.939,2295.187,3732.965,3591.316
ENSG00000163719.20,1339.997,1307.999,1472.148,982.001,1458.639,992.999,808.487,790.001,683.016,624.002,1061.001,894
ENSG00000163728.11,867,1494.999,806.002,619.996,990.123,875.233,911.377,943.007,978,765,1109.057,988.999
ENSG00000163734.4,1,10,1,1,2,0,53,39,58.119,55,74,43.001
ENSG00000163735.7,0,3,0,0,0,0,6.013,5,2,3,1,4
ENSG00000163736.4,0,0,0,0,0,0,18.471,14.142,0,39.504,6,0
ENSG00000163737.5,0,0,0,0,0,0,0,2.612,0,0,0,0
ENSG00000163738.19,245.999,243.999,249,204.001,249.035,149.001,90.999,120.001,61,89,106,110
ENSG00000163739.5,0,3,1,0,1,1,52.001,37,5,20,24,37
ENSG00000163743.14,676.248,673,767,619,978,586,380.999,355,339,304,518.001,485
ENSG00000163746.13,5,5,10,7,7,4,19,24,36,26,43,25
ENSG00000163749.18,12.207,16.998,13.354,19.194,18.785,25.537,10,4.973,4.996,5,8,24.983
ENSG00000163751.4,0,0,0,0,0,0,4,0,0,0,1,0
ENSG00000163754.18,483,554.001,564.001,524,590.018,409.05,589.037,544.165,646.166,468,800,883
ENSG00000163755.9,1522.154,1660,1775,1349.328,1788.8,1252.225,1047.289,947.995,1031.038,877,1358.233,1071.001
ENSG00000163762.7,1,0,0,0,0,0,14,1,2,9,2,0
ENSG00000163781.14,3586.948,4346.016,3766.905,3213.643,4606.078,3074.493,2327.86,2836.332,2546.694,2040.854,2962.738,2952.459
ENSG00000163785.14,2472.401,2736.615,2683.639,2459.833,3274,2176.343,1346.506,1563.064,1656.999,1441.14,1809,1537.622
ENSG00000163788.14,2350.27,1757.004,2004.746,1643.028,2747,1426.001,681.045,629,793.067,655,851,804.001
ENSG00000163792.6,24.971,13.573,9.875,5.992,20.283,12.299,11.117,12.711,8.231,2,5.058,21.339
ENSG00000163793.13,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000163794.6,7,7,4,9,8,8,8,7,20,3,5,5
ENSG00000163795.14,436,452.999,442,331,438.001,392,321.01,347.001,323.999,272,422.001,385
ENSG00000163798.14,1103.7,1455,1409.307,1036.945,1644.291,997.085,1001.984,860.193,886.075,803.657,1178.663,1135.001
ENSG00000163803.13,43.999,158,70.001,116.001,160,91.001,480.17,494.002,557.001,400,546.999,472.01
ENSG00000163806.16,2.058,9.888,9.495,12.661,16.375,21.151,21.759,4.212,2.857,7.291,0,11.403
ENSG00000163807.6,2733,3077.686,2772.848,2280.704,3501.707,2451.277,892.588,1073.096,1168.847,1012.295,1234.007,1278.227
ENSG00000163808.17,850.17,1243,820.911,911,1393,754.809,338.001,428.002,438,292,496,503.396
ENSG00000163810.13,1,2,0,0,0,0,0,3,0,0,1,1
ENSG00000163811.12,3340.003,4092.001,3628.001,3460.469,5177.399,2945.616,1649.242,1840.864,1738,1313,2335.631,2342.984
ENSG00000163812.16,2809.999,3172.42,3377.165,2550.962,3540.016,2632.931,1921.049,2181.994,2067.017,1776.991,2411.503,2332.067
ENSG00000163814.8,436,946,377,183,676,174,130,241,252,144,685,423
ENSG00000163815.6,169,0,0,0,4,0,12,3,0,11,0,0
ENSG00000163817.17,15,23,31,13,16,34,23,16,4,6,21,12
ENSG00000163818.20,191.999,151,142,135.001,212,153,137.727,230,148.999,167,259.999,248.001
ENSG00000163820.16,1696,1527.176,1580,1520,1477,1178.258,410,555.61,474.058,496,818,670
ENSG00000163823.4,50,479.299,188,215,132,344,5141.111,6306.36,4925.436,3862.933,5622.511,5780.396
ENSG00000163825.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163827.14,19.04,6,4,0,4.012,2,5,12,6,4,4.747,5
ENSG00000163832.16,543.008,661.675,552.001,431.001,680,415.727,252.258,286.001,274.001,199,354,382.999
ENSG00000163833.8,2,3,6,7,3,5,4,0,0,8,0,2
ENSG00000163840.10,1021.762,1309.334,809.332,997.954,988.152,978.434,2771.518,3678.274,2786.165,2092.105,3355.346,3925
ENSG00000163848.21,2169.187,2463.001,2321.232,2067,2687.992,1785,1583.621,1765,1620.016,1475.001,2020,2006.22
ENSG00000163864.18,812.194,1114.991,1645.446,1387.048,1487.036,1655.022,1364.855,910.082,825.887,779.484,1171.793,1104.648
ENSG00000163866.9,705.052,926,769.246,571.345,867.097,656.001,606,666.473,509,421,771.001,706.986
ENSG00000163867.17,377.536,452.145,434.951,342.214,556.542,381.208,330.138,367.514,305.382,228.817,399.902,353.906
ENSG00000163870.16,962.502,986.001,1113.507,611,1016.001,726.999,736.206,725,733,692.999,914.074,915.999
ENSG00000163872.16,2481.818,3262.003,3365.817,3125.182,2845.576,2341.119,2814.688,2954.228,3007,1984,3073.001,2868.955
ENSG00000163873.10,0,1,0,0,2,0,1,1,0,0,2,2
ENSG00000163874.11,824.515,280,633,585,717.001,543.001,346.427,309,322.023,295,481,459
ENSG00000163875.16,907.002,856,684.001,695.999,1129.792,627.985,462.015,463.029,395,349,521.035,467.001
ENSG00000163877.11,749.428,606.001,805.917,595.107,902,657.848,517.915,619.464,553.001,436.692,796,600.975
ENSG00000163879.11,49,52,58,66,90,57,115.001,162,116,106.999,178.999,120.001
ENSG00000163882.10,954.606,1116.002,1076.002,838.73,1226.526,753.09,641.442,595.998,505.002,451.999,738,721.001
ENSG00000163884.4,61,36,56,70,79,64,9,13,13,19,26,42
ENSG00000163885.12,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000163888.4,0,1,0,0,2,0,0,0,0,0,2,0
ENSG00000163898.10,22,20.916,25.47,33.776,31.14,24.017,35,12,14.068,15,43.813,20.209
ENSG00000163900.11,971,1122.001,1134,854.001,1301,1018.805,416.085,331.999,307.035,311,476,468.043
ENSG00000163902.12,7821.368,10816.02,8983.566,7535.035,9400.673,6592.295,14061.288,16614.208,13602.02,14134.415,17993.673,19004.618
ENSG00000163904.13,1890.932,2174.665,2129.886,1741.101,2480.543,1632.858,1098.079,1174.647,1101.342,1019.002,1351.497,1242.948
ENSG00000163909.8,27,7,0,3,5,3,32,7,6,0,21,9
ENSG00000163913.14,601.096,733.997,627.003,566.003,653.156,517.283,327.998,286.001,280.001,247.999,406.001,442.001
ENSG00000163914.5,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163915.7,0,0,0,0,0,0,0,0,1,0,0,0
ENSG00000163918.12,1244.679,1506.001,1195.999,1004,1679.567,924.99,452.068,572.205,619,453.018,737,669.998
ENSG00000163923.10,190,309.817,179,181,307,155,222.994,199.005,208.001,114,238.363,284
ENSG00000163930.10,2314.188,2315.999,2496.694,1835.042,2555.229,1725.873,1544.72,1466.084,1343.072,1067.67,1738.518,1673.001
ENSG00000163931.17,9218.278,8889.084,9169.88,7689.609,9682.85,6233.419,2963.587,2422.137,2220,1832.504,3879.482,3243
ENSG00000163932.16,131.999,244,287.001,207.001,150.999,111,434,397.084,361.006,228,477,528.999
ENSG00000163933.10,1164.056,1262.759,1204.622,985.104,1221.56,916.724,573.711,597.254,565.809,393.041,670.802,665.995
ENSG00000163935.14,567,1270,1072.774,878.006,1104.999,731,647.917,534.645,660.026,492,824,1023
ENSG00000163938.17,3736.918,4669.966,4135.975,3963.002,5839.909,3483.131,3581.342,3062.019,2964.043,2472.001,3565.27,3558.999
ENSG00000163939.19,3955.012,4815.203,4761.338,3802.533,5263.134,3365.749,3710.716,3742.406,3991.98,3161.087,4671.445,4812.314
ENSG00000163945.19,492.011,476.869,761.354,504,568.027,584.513,768.999,518,499,411,600.002,535
ENSG00000163946.14,2607.584,3238.843,2686.348,2407.001,3076.485,2097.08,1941.043,2375.059,2404,1980,2645.447,2585
ENSG00000163947.12,1263.008,1123.999,1354.001,1139,1614.001,1010.135,1713.838,1089.111,1117,1719.326,1856.959,1503
ENSG00000163950.13,2783.999,2891.915,2344,2236.005,3309.188,2093,272.421,217,310,360.001,515,434
ENSG00000163956.13,8101.155,7574.81,11389.484,5601.756,7861.203,7047.896,2655.65,2414.019,2792.005,2445.489,3822.317,2808.152
ENSG00000163958.14,8,0,3,5,1,1,1,2,0,5,1,0
ENSG00000163959.10,7,4,9,1,4,2,0,2,1,2,0,2
ENSG00000163960.12,2346.375,2897.356,2527.517,2109.684,2683.003,1892.824,1135,1086,1252.999,912.509,1212,1243.001
ENSG00000163961.4,1641.005,1964,1931.023,1755,2552.508,1335.325,1336.086,1161.877,1288,810,1564.016,1561.055
ENSG00000163964.18,348,456,422.996,287.533,469.847,336.405,169,174,188,179.984,238.04,217.079
ENSG00000163975.14,173.507,129.16,180.534,152.841,186.953,216.488,161.496,109.884,77.187,105.713,123.182,139.147
ENSG00000163982.6,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163993.7,3808.871,4248.94,3576.98,2928,3982.83,3389,4524.769,3498.069,6182.013,6316,6330.747,7053.398
ENSG00000163995.22,1,7,3,4,4,0,7,7,6,2,8,9
ENSG00000164002.12,168.001,265,158.001,161,195.999,151.001,134,150.001,126,91,195.001,166
ENSG00000164007.11,521,1817.86,1389,1008.107,1336.997,1042,7693.947,9977.243,5517.673,5463.012,8422.702,8610.389
ENSG00000164008.17,267.101,379.694,282.289,212.999,346.026,273.601,219.252,183.642,193.218,155.097,256.864,272.921
ENSG00000164010.15,341.999,314,424,291,392.472,288,188,131,197,186.001,152,222
ENSG00000164011.18,130.999,222.999,158,98.001,134,121.001,79,77,92.999,80,118.001,81.001
ENSG00000164022.18,1934.388,2074.885,2077.647,1769.435,2576.94,1768.03,1969,1995.759,1575.998,1410.006,1947.761,1926.83
ENSG00000164023.15,179,263.09,131,102.007,307.043,155,625.052,175,826.032,1459.816,1081.001,854.999
ENSG00000164024.12,1366.726,1787.905,1470.999,1503,1697.001,1142.047,2094,2196.159,1773.009,1282.999,2412.012,2207.489
ENSG00000164031.17,2251.61,2648.001,2256.104,1725.512,2580.999,1956,2340.006,2354.654,2441.003,2171.069,2626,2348.998
ENSG00000164032.12,5863.909,5434.186,5316.777,4492.833,7130.669,3744.198,3164.198,3000.54,3210.102,2648.463,4497.814,4242
ENSG00000164035.10,4,0,0,0,0,0,9,0,0,2,0,0
ENSG00000164037.17,11,6,6,8,12,19.001,0,7,1,9,2,3
ENSG00000164038.16,103,78.001,75,65,111.011,75.001,61,59,58,41,77.001,70.999
ENSG00000164039.15,332.999,333.001,223.001,217,261.032,256,231.999,385,213,212,371,313.999
ENSG00000164040.18,1157.446,1644.941,1112.072,1070,1014.094,928.601,839.092,1006.984,1197,955.038,1405.119,1295.001
ENSG00000164045.12,1514.612,1446.04,1464,1237,2170.484,1032,410,438,387,302.001,578.999,694.001
ENSG00000164047.6,0,0,0,0,0,0,0,0,0,0,1,0
ENSG00000164048.14,430.03,563,418.027,501.001,586.585,444,142.999,74,99.999,98,180,125
ENSG00000164049.14,0,0,0,0,1,1,0,0,0,0,0,0
ENSG00000164050.13,5676.041,4875.285,6587.013,3949.001,4808.001,4501.578,540.004,231,651.001,574,862.056,836.119
ENSG00000164051.14,584.001,811,660.001,488,719.976,434.564,185.001,147.999,149,109,252,210.999
ENSG00000164053.22,688.3,644.876,670.248,463.794,700.591,484.934,217.451,153.253,225.124,189.4,307.903,288.033
ENSG00000164054.17,9566.458,10048.083,9837.467,8002.844,11279.096,8236.056,4169.247,3534.999,3425.026,2848.419,5919.822,6048.955
ENSG00000164056.11,286.999,266,332.001,219,243.517,275,27,15,31,26,31,34.999
ENSG00000164061.5,52,44,65,37,59,55.008,49,20,23,15,47,38
ENSG00000164062.13,4292.61,4785.277,4914.6,3767.999,4699.409,2780.912,2335.147,2445.683,2078,1603.999,3045.401,2869.999
ENSG00000164066.13,736.119,939.783,832.707,626.006,742.101,564.208,684.475,834,604.966,513.001,793.52,619.128
ENSG00000164068.16,784.97,901,892.999,590,818,761,618.001,509,484,413,719.207,745
ENSG00000164070.12,634.937,756.516,1386.781,832.959,1623.878,687.274,144.182,101.921,180.483,147.764,174.84,231.098
ENSG00000164073.11,788.431,987.033,859.507,656,991.999,714.002,480.003,451,491.368,430.998,597,479
ENSG00000164074.17,539.044,643.36,694.011,554,757,537.829,326.004,321.999,360.044,234,406,403.764
ENSG00000164076.17,0,6,0,0,1,5,19,24,17,3,28,35
ENSG00000164077.15,181,179.999,159.222,118.999,172,107.005,94,61,59,46,147.001,133
ENSG00000164078.14,36,43,33,34,38,28,53.001,28,39,23,68,22.999
ENSG00000164080.14,2602.381,3527.535,3697.813,2660.269,3196.008,3130.526,1463.051,1204.031,1241.984,1014.722,1639,1702.999
ENSG00000164081.13,1540.577,1461.92,1495.163,1066,1651.999,1163.04,693.447,657,674.606,487.001,873.246,895.002
ENSG00000164082.15,10,0,15,9,18,10,5,1,0,0,9,5
ENSG00000164086.10,64,129,136,91,101,81,167,248,160,143,266,375.001
ENSG00000164087.8,668.373,738.798,781.542,593.979,853.302,437.997,230,267,212,139,363,337
ENSG00000164088.18,138.001,161.999,146,132,160,103.999,241,210.001,234.999,171,251,234
ENSG00000164089.9,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000164091.12,5339.736,5857.016,6071.079,4969.72,6628.31,4265.284,3911.593,3517.013,3811.037,2805.999,4355.051,4341.288
ENSG00000164093.18,72,108,67,75,140.001,74.999,75.055,64,66,59,90.999,114
ENSG00000164096.13,2193.423,2253,2060.971,1780.931,2281.55,1930.475,989.576,1054,1095,966.512,1387,1225
ENSG00000164099.3,3310.211,7241.048,5749.253,3080.884,5932.946,4317.24,166,139.006,342,311,489,464
ENSG00000164100.9,2.886,3.012,2,6,3,5,0,0,4,2,1,6
ENSG00000164104.12,7930.765,9321.219,8237.757,7426.933,11329.008,5975.872,2530.862,3115.673,2966.683,2506.142,4110.008,4130.532
ENSG00000164105.4,88,85,77,72,160,81,46,81,74,47,98,97
ENSG00000164106.8,1,4,3,0,1,1,4,2,2,0,4,3
ENSG00000164107.9,446,27,0,3,5,0,17,1,0,2,2,2
ENSG00000164109.14,1127.307,1343.997,1244,968.969,1598.689,821.056,584,649.001,510.138,434,851.004,831.131
ENSG00000164111.15,33711.963,40882.896,34724.072,29320.721,42153.073,27124.358,22305.601,27980.746,23583.981,24052.774,30413.707,30627.788
ENSG00000164112.14,343.999,402,399.447,212,406,301,26,13,39,58.999,52.999,24
ENSG00000164113.11,0,0,2,1,0,0,0,0,1,0,0,0
ENSG00000164114.19,376.001,263,322,286,468,249,112.999,69,94.001,83,114,112.999
ENSG00000164116.17,38,6,0,0,3,3,21,1,2,22,21,7
ENSG00000164117.14,894,1082,869,603,871.506,636,1018.079,845.916,958,762.19,1065,780
ENSG00000164118.13,555.992,863.001,671,547,813,543.585,601.385,629,583.002,443.052,718.001,584
ENSG00000164120.14,521,2560.004,1129.776,632.001,782.055,1793.04,41200.924,28226.012,33683.792,52227.543,50211.123,52440.551
ENSG00000164122.9,0,0,0,0,0,0,1,2,1,0,0,2
ENSG00000164123.7,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000164124.11,809.086,1097.986,1163.001,969.971,1059.001,778.999,306,316.001,261,220.001,303.001,345.155
